abs	5
acos	nan
asin	nan
at_timezone	<CH_ERR:Code: 46. DB::Exception: Function with name `>
atan	1.1902899496825319
atan2	0.7853981633974483
bar	<CH_ERR:Code: 42. DB::Exception: Function bar require>
beta_cdf	<CH_ERR:Code: 46. DB::Exception: Function with name `>
bit_count	<CH_ERR:Code: 46. DB::Exception: Function with name `>
bitwise_and	<CH_ERR:Code: 62. DB::Exception: Unrecognized token: >
bitwise_left_shift	<CH_ERR:Code: 46. DB::Exception: Function with name `>
bitwise_not	<CH_ERR:Code: 62. DB::Exception: Unrecognized token: >
bitwise_or	<CH_ERR:Code: 62. DB::Exception: Syntax error: failed>
bitwise_right_shift	<CH_ERR:Code: 46. DB::Exception: Function with name `>
bitwise_right_shift_arithmetic	<CH_ERR:Code: 46. DB::Exception: Function with name `>
bitwise_xor	0
cbrt	<CH_ERR:Code: 46. DB::Exception: Function with name `>
ceil	5
ceiling	5
chr	
codepoint	<CH_ERR:Code: 46. DB::Exception: Function with name `>
color	<CH_ERR:Code: 46. DB::Exception: Function with name `>
concat	\xaa\xbb
concat_ws	[\'aBc\']
cos	-0.8011436155469337
cosh	<CH_ERR:Code: 46. DB::Exception: Function with name `>
cosine_distance	0
cosine_similarity	<CH_ERR:Code: 46. DB::Exception: Function with name `>
crc32	1233267864
create_hll	<CH_ERR:Code: 46. DB::Exception: Function with name `>
custom_add	<CH_ERR:Code: 46. DB::Exception: Function with name `>
date	2024-06-16
date_add	<CH_ERR:Code: 47. DB::Exception: Unknown expression o>
date_diff	<CH_ERR:Code: 47. DB::Exception: Unknown expression o>
date_format	aBc
date_parse	<CH_ERR:Code: 46. DB::Exception: Function with name `>
date_trunc	<CH_ERR:Code: 36. DB::Exception: abc doesn't look lik>
day	16
day_of_month	<CH_ERR:Code: 46. DB::Exception: Function with name `>
day_of_week	<CH_ERR:Code: 46. DB::Exception: Function with name `>
day_of_year	<CH_ERR:Code: 46. DB::Exception: Function with name `>
degrees	143.2394487827058
dot_product	<CH_ERR:Code: 46. DB::Exception: Function with name `>
dow	<CH_ERR:Code: 46. DB::Exception: Function with name `>
doy	<CH_ERR:Code: 46. DB::Exception: Function with name `>
euclidean_distance	0
exp	12.182493960703473
floor	5
format_datetime	<CH_ERR:Code: 46. DB::Exception: Function with name `>
format_number	<CH_ERR:Code: 46. DB::Exception: Function with name `>
